image,ht,wd
bottle-18.gif,352,288
bottle-19.gif,352,288
bottle-20.gif,352,288
brick-01.gif,352,288
brick-02.gif,352,288
brick-03.gif,352,288
brick-04.gif,352,288
brick-05.gif,352,288
brick-06.gif,352,288
brick-07.gif,352,288
brick-08.gif,352,288
brick-09.gif,352,288
brick-10.gif,352,288
brick-11.gif,352,288
brick-12.gif,352,288
brick-13.gif,352,288
brick-14.gif,352,288
brick-15.gif,352,288
brick-16.gif,352,288
brick-17.gif,352,288
brick-18.gif,352,288
brick-19.gif,352,288
brick-20.gif,352,288
butterfly-1.gif,500,459
butterfly-10.gif,373,304
butterfly-11.gif,483,474
butterfly-12.gif,392,359
butterfly-13.gif,532,528
butterfly-14.gif,277,255
butterfly-15.gif,377,375
butterfly-16.gif,336,518
butterfly-17.gif,593,614
butterfly-18.gif,331,269
butterfly-19.gif,429,421
butterfly-2.gif,680,675
butterfly-20.gif,402,419
butterfly-3.gif,496,502
butterfly-4.gif,704,705
butterfly-5.gif,334,331
butterfly-6.gif,471,470
butterfly-7.gif,281,182
butterfly-8.gif,335,320
butterfly-9.gif,579,580
camel-1.gif,391,355
camel-10.gif,369,333
camel-11.gif,390,307
camel-12.gif,376,320
camel-13.gif,385,317
camel-14.gif,363,338
camel-15.gif,382,363
camel-16.gif,437,357
camel-17.gif,367,376
camel-18.gif,390,369
camel-19.gif,368,313
camel-2.gif,352,323
camel-20.gif,344,315
camel-3.gif,346,346
camel-4.gif,397,355
camel-5.gif,324,343
camel-6.gif,390,339
camel-7.gif,413,325
camel-8.gif,383,336
camel-9.gif,380,355
car-01.gif,352,288
car-02.gif,352,288
car-03.gif,352,288
car-04.gif,352,288
car-05.gif,352,288
car-06.gif,352,288
car-07.gif,352,288
car-08.gif,352,288
car-09.gif,352,288
car-10.gif,352,288
car-11.gif,352,288
car-12.gif,352,288
car-13.gif,352,288
car-14.gif,352,288
car-15.gif,352,288
car-16.gif,352,288
car-17.gif,352,288
car-18.gif,352,288
car-19.gif,352,288
car-20.gif,352,288
carriage-01.gif,352,288
carriage-02.gif,352,288
carriage-03.gif,352,288
carriage-04.gif,352,288
carriage-05.gif,352,288
carriage-06.gif,352,288
carriage-07.gif,352,288
carriage-08.gif,352,288
carriage-09.gif,352,288
carriage-10.gif,352,288
carriage-11.gif,352,288
carriage-12.gif,352,288
carriage-13.gif,352,288
carriage-14.gif,352,288
carriage-15.gif,352,288
carriage-16.gif,352,288
carriage-17.gif,352,288
carriage-18.gif,352,288
carriage-19.gif,352,288
carriage-20.gif,352,288
cattle-1.gif,495,476
cattle-10.gif,580,345
cattle-11.gif,667,639
cattle-12.gif,440,281
cattle-13.gif,519,499
cattle-14.gif,445,275
cattle-15.gif,520,498
cattle-16.gif,582,389
cattle-17.gif,697,673
cattle-18.gif,463,254
cattle-19.gif,520,494
cattle-2.gif,705,406
cattle-20.gif,416,270
cattle-3.gif,802,765
cattle-4.gif,534,381
cattle-5.gif,655,636
cattle-6.gif,422,272
cattle-7.gif,501,481
cattle-8.gif,432,273
cattle-9.gif,508,487
cellular_phone-1.gif,520,213
cellular_phone-10.gif,471,194
cellular_phone-11.gif,448,192
cellular_phone-12.gif,403,169
cellular_phone-13.gif,427,169
cellular_phone-14.gif,378,172
cellular_phone-15.gif,385,168
cellular_phone-16.gif,465,192
cellular_phone-17.gif,414,175
cellular_phone-18.gif,424,186
cellular_phone-19.gif,426,183
cellular_phone-2.gif,366,146
cellular_phone-20.gif,401,174
cellular_phone-3.gif,426,175
cellular_phone-4.gif,469,204
cellular_phone-5.gif,419,175
cellular_phone-6.gif,445,191
cellular_phone-7.gif,388,163
cellular_phone-8.gif,415,165
cellular_phone-9.gif,424,168
chicken-1.gif,412,396
chicken-10.gif,139,139
chicken-11.gif,139,139
chicken-12.gif,412,396
chicken-13.gif,123,99
chicken-14.gif,99,123
chicken-15.gif,347,270
chicken-16.gif,214,261
chicken-17.gif,286,266
chicken-18.gif,331,375
chicken-19.gif,191,267
chicken-2.gif,283,246
chicken-20.gif,396,412
chicken-3.gif,377,372
chicken-4.gif,284,292
chicken-5.gif,408,408
chicken-6.gif,135,123
chicken-7.gif,123,135
chicken-8.gif,98,107
chicken-9.gif,107,98
children-1.gif,352,240
children-10.gif,352,240
children-11.gif,352,240
children-12.gif,352,240
children-13.gif,352,240
children-14.gif,352,240
children-15.gif,352,240
children-16.gif,352,240
children-17.gif,352,240
children-18.gif,352,240
children-19.gif,352,240
children-2.gif,352,240
children-20.gif,352,240
children-3.gif,352,240
children-4.gif,352,240
children-5.gif,352,240
children-6.gif,352,240
children-7.gif,352,240
children-8.gif,352,240
children-9.gif,352,240
chopper-01.gif,352,288
chopper-02.gif,352,288
chopper-03.gif,352,288
chopper-04.gif,352,288
chopper-05.gif,352,288
chopper-06.gif,352,288
chopper-07.gif,352,288
chopper-08.gif,352,288
chopper-09.gif,352,288
chopper-10.gif,352,288
chopper-11.gif,352,288
chopper-12.gif,352,288
chopper-13.gif,352,288
chopper-14.gif,352,288
chopper-15.gif,352,288
chopper-16.gif,352,288
chopper-17.gif,352,288
chopper-18.gif,352,288
chopper-19.gif,352,288
chopper-20.gif,352,288
classic-1.gif,569,252
classic-10.gif,309,166
classic-11.gif,309,166
classic-12.gif,481,286
classic-13.gif,569,252
classic-14.gif,1110,488
classic-15.gif,1110,488
classic-16.gif,481,278
classic-17.gif,481,278
classic-18.gif,474,286
classic-19.gif,474,286
classic-2.gif,376,145
classic-20.gif,569,252
classic-3.gif,376,145
classic-4.gif,744,333
classic-5.gif,744,333
classic-6.gif,344,202
classic-7.gif,344,202
classic-8.gif,943,347
classic-9.gif,943,347
Comma-1.gif,283,445
Comma-10.gif,269,419
Comma-11.gif,230,472
Comma-12.gif,283,412
Comma-13.gif,283,445
Comma-14.gif,283,445
Comma-15.gif,284,445
Comma-16.gif,284,445
Comma-17.gif,287,430
Comma-18.gif,287,427
Comma-19.gif,287,430
Comma-2.gif,283,445
Comma-20.gif,285,424
Comma-3.gif,283,445
Comma-4.gif,276,386
Comma-5.gif,283,445
Comma-6.gif,283,445
Comma-7.gif,283,445
Comma-8.gif,283,445
Comma-9.gif,282,359
confusions.gif,461,346
crown-1.gif,633,521
crown-10.gif,172,89
crown-11.gif,192,114
crown-12.gif,93,50
crown-13.gif,133,77
crown-14.gif,149,72
crown-15.gif,151,89
crown-16.gif,151,89
crown-17.gif,181,113
crown-18.gif,264,164
crown-19.gif,72,41
crown-2.gif,84,43
crown-20.gif,155,88
crown-3.gif,258,165
crown-4.gif,71,38
crown-5.gif,152,102
crown-6.gif,181,113
crown-7.gif,95,53
crown-8.gif,80,42
crown-9.gif,76,41
cup-1.gif,425,383
cup-10.gif,372,298
cup-11.gif,381,349
cup-12.gif,364,329
cup-13.gif,366,342
cup-14.gif,365,375
cup-15.gif,391,361
cup-16.gif,345,363
cup-17.gif,350,342
cup-18.gif,335,358
cup-19.gif,393,359
cup-2.gif,380,392
cup-20.gif,374,413
cup-3.gif,343,296
cup-4.gif,443,344
cup-5.gif,358,304
cup-6.gif,369,348
cup-7.gif,357,357
cup-8.gif,315,356
cup-9.gif,332,346
deer-1.gif,693,703
deer-10.gif,500,551
deer-11.gif,551,500
deer-12.gif,550,691
deer-13.gif,691,550
deer-14.gif,333,249
deer-15.gif,416,406
deer-16.gif,532,650
deer-17.gif,828,841
deer-18.gif,660,583
deer-19.gif,881,873
deer-2.gif,693,703
deer-20.gif,693,703
deer-3.gif,703,693
deer-4.gif,984,986
deer-5.gif,693,703
deer-6.gif,545,569
deer-7.gif,784,788
deer-8.gif,638,700
deer-9.gif,700,638
device0-1.gif,512,512
device0-10.gif,512,512
device0-11.gif,512,512
device0-12.gif,512,512
device0-13.gif,512,512
device0-14.gif,512,512
device0-15.gif,512,512
device0-16.gif,512,512
device0-17.gif,512,512
device0-18.gif,512,512
device0-19.gif,512,512
device0-2.gif,512,512
device0-20.gif,512,512
device0-3.gif,512,512
device0-4.gif,512,512
device0-5.gif,512,512
device0-6.gif,512,512
device0-7.gif,512,512
device0-8.gif,512,512
device0-9.gif,512,512
device1-1.gif,512,512
device1-10.gif,512,512
device1-11.gif,512,512
device1-12.gif,512,512
device1-13.gif,512,512
device1-14.gif,512,512
device1-15.gif,512,512
device1-16.gif,512,512
device1-17.gif,512,512
device1-18.gif,512,512
device1-19.gif,512,512
device1-2.gif,512,512
device1-20.gif,512,512
device1-3.gif,512,512
device1-4.gif,512,512
device1-5.gif,512,512
device1-6.gif,512,512
device1-7.gif,512,512
device1-8.gif,512,512
device1-9.gif,512,512
device2-1.gif,512,512
device2-10.gif,512,512
device2-11.gif,512,512
device2-12.gif,512,512
device2-13.gif,512,512
device2-14.gif,512,512
device2-15.gif,512,512
device2-16.gif,512,512
device2-17.gif,558,558
device2-18.gif,558,558
device2-19.gif,512,512
device2-2.gif,512,512
device2-20.gif,512,512
device2-3.gif,558,558
device2-4.gif,512,512
device2-5.gif,558,558
device2-6.gif,558,558
device2-7.gif,512,512
device2-8.gif,512,512
device2-9.gif,512,512
device3-1.gif,558,558
device3-10.gif,558,558
device3-11.gif,558,558
device3-12.gif,558,558
device3-13.gif,558,558
device3-14.gif,558,558
device3-15.gif,558,558
device3-16.gif,558,558
device3-17.gif,558,558
device3-18.gif,558,558
device3-19.gif,558,558
device3-2.gif,558,558
device3-20.gif,558,558
device3-3.gif,558,558
device3-4.gif,558,558
device3-5.gif,558,558
device3-6.gif,558,558
device3-7.gif,558,558
device3-8.gif,558,558
device3-9.gif,558,558
device4-1.gif,558,558
device4-10.gif,558,558
device4-11.gif,558,558
device4-12.gif,558,558
device4-13.gif,558,558
device4-14.gif,558,558
device4-15.gif,558,558
device4-16.gif,558,558
device4-17.gif,558,558
device4-18.gif,558,558
device4-19.gif,558,558
device4-2.gif,558,558
device4-20.gif,558,558
device4-3.gif,558,558
device4-4.gif,558,558
device4-5.gif,558,558
device4-6.gif,558,558
device4-7.gif,558,558
device4-8.gif,558,558
device4-9.gif,558,558
device5-1.gif,558,558
device5-10.gif,558,558
device5-11.gif,558,558
device5-12.gif,558,558
device5-13.gif,558,558
device5-14.gif,558,558
device5-15.gif,558,558
device5-16.gif,558,558
device5-17.gif,558,558
device5-18.gif,558,558
device5-19.gif,558,558
device5-2.gif,558,558
device5-20.gif,558,558
device5-3.gif,558,558
device5-4.gif,558,558
device5-5.gif,558,558
device5-6.gif,558,558
device5-7.gif,558,558
device5-8.gif,558,558
device5-9.gif,558,558
device6-1.gif,558,558
device6-10.gif,558,558
device6-11.gif,558,558
device6-12.gif,558,558
device6-13.gif,558,558
device6-14.gif,558,558
device6-15.gif,558,558
device6-16.gif,558,558
device6-17.gif,558,558
device6-18.gif,558,558
device6-19.gif,558,558
device6-2.gif,558,558
device6-20.gif,558,558
device6-3.gif,558,558
device6-4.gif,558,558
device6-5.gif,558,558
device6-6.gif,558,558
device6-7.gif,558,558
device6-8.gif,558,558
device6-9.gif,558,558
device7-1.gif,512,512
device7-10.gif,512,512
device7-11.gif,512,512
device7-12.gif,512,512
device7-13.gif,512,512
device7-14.gif,512,512
device7-15.gif,512,512
device7-16.gif,512,512
device7-17.gif,512,512
device7-18.gif,512,512
device7-19.gif,512,512
device7-2.gif,512,512
device7-20.gif,512,512
device7-3.gif,512,512
device7-4.gif,512,512
device7-5.gif,512,512
device7-6.gif,512,512
device7-7.gif,512,512
device7-8.gif,512,512
device7-9.gif,512,512
device8-1.gif,558,558
device8-10.gif,558,558
device8-11.gif,558,558
device8-12.gif,558,558
device8-13.gif,558,558
device8-14.gif,558,558
device8-15.gif,558,558
device8-16.gif,558,558
device8-17.gif,558,558
device8-18.gif,558,558
device8-19.gif,558,558
device8-2.gif,558,558
device8-20.gif,558,558
device8-3.gif,558,558
device8-4.gif,558,558
device8-5.gif,558,558
device8-6.gif,558,558
device8-7.gif,558,558
device8-8.gif,558,558
device8-9.gif,558,558
device9-1.gif,558,558
device9-10.gif,558,558
device9-11.gif,558,558
device9-12.gif,558,558
device9-13.gif,558,558
device9-14.gif,558,558
device9-15.gif,558,558
device9-16.gif,558,558
device9-17.gif,558,558
device9-18.gif,558,558
device9-19.gif,558,558
device9-2.gif,558,558
device9-20.gif,558,558
device9-3.gif,558,558
device9-4.gif,558,558
device9-5.gif,558,558
device9-6.gif,558,558
device9-7.gif,558,558
device9-8.gif,558,558
device9-9.gif,558,558
dog-1.gif,686,535
dog-10.gif,255,187
dog-11.gif,675,642
dog-12.gif,150,130
dog-13.gif,150,130
dog-14.gif,526,408
dog-15.gif,526,408
dog-16.gif,172,109
dog-17.gif,177,102
dog-18.gif,283,173
dog-19.gif,526,408
dog-2.gif,273,197
dog-20.gif,255,187
dog-3.gif,526,408
dog-4.gif,255,187
dog-5.gif,255,187
dog-6.gif,526,408
dog-7.gif,526,408
dog-8.gif,255,187
dog-9.gif,255,187
elephant-1.gif,683,686
elephant-10.gif,298,289
elephant-11.gif,372,289
elephant-12.gif,759,644
elephant-13.gif,447,334
elephant-14.gif,720,531
elephant-15.gif,720,637
elephant-16.gif,342,348
elephant-17.gif,168,274
elephant-18.gif,252,183
elephant-19.gif,228,232
elephant-2.gif,759,644
elephant-20.gif,298,223
elephant-3.gif,357,301
elephant-4.gif,998,981
elephant-5.gif,720,531
elephant-6.gif,720,531
elephant-7.gif,632,768
elephant-8.gif,623,455
elephant-9.gif,623,568
face-1.gif,269,337
face-10.gif,269,337
face-11.gif,269,337
face-12.gif,269,337
face-13.gif,204,331
face-14.gif,204,331
face-15.gif,204,331
face-16.gif,204,331
face-17.gif,204,331
face-18.gif,204,331
face-19.gif,204,331
face-2.gif,269,337
face-20.gif,269,337
face-3.gif,269,337
face-4.gif,269,337
face-5.gif,269,337
face-6.gif,269,337
face-7.gif,269,337
face-8.gif,269,337
face-9.gif,269,337
fish-1.gif,600,459
fish-10.gif,209,59
fish-11.gif,208,60
fish-12.gif,180,75
fish-13.gif,174,72
fish-14.gif,296,99
fish-15.gif,239,56
fish-16.gif,243,93
fish-17.gif,225,84
fish-18.gif,236,78
fish-19.gif,239,79
fish-2.gif,234,77
fish-20.gif,232,67
fish-3.gif,271,101
fish-4.gif,238,80
fish-5.gif,286,104
fish-6.gif,330,40
fish-7.gif,329,115
fish-8.gif,284,127
fish-9.gif,331,107
flatfish-1.gif,613,492
flatfish-10.gif,420,214
flatfish-11.gif,420,212
flatfish-12.gif,420,259
flatfish-13.gif,420,166
flatfish-14.gif,420,223
flatfish-15.gif,420,188
flatfish-16.gif,420,184
flatfish-17.gif,420,188
flatfish-18.gif,420,188
flatfish-19.gif,420,230
flatfish-2.gif,420,188
flatfish-20.gif,420,215
flatfish-3.gif,420,230
flatfish-4.gif,420,188
flatfish-5.gif,420,188
flatfish-6.gif,420,184
flatfish-7.gif,420,215
flatfish-8.gif,420,230
flatfish-9.gif,420,255
fly-1.gif,308,253
fly-10.gif,346,311
fly-11.gif,346,311
fly-12.gif,222,223
fly-13.gif,305,289
fly-14.gif,291,304
fly-15.gif,189,197
fly-16.gif,308,253
fly-17.gif,308,253
fly-18.gif,269,200
fly-19.gif,257,147
fly-2.gif,184,265
fly-20.gif,308,253
fly-3.gif,184,265
fly-4.gif,266,274
fly-5.gif,266,274
fly-6.gif,274,258
fly-7.gif,274,258
fly-8.gif,240,236
fly-9.gif,240,236
fork-1.gif,297,650
fork-10.gif,640,480
fork-11.gif,640,480
fork-12.gif,640,480
fork-13.gif,640,480
fork-14.gif,640,480
fork-15.gif,640,480
fork-16.gif,640,480
fork-17.gif,640,480
fork-18.gif,640,480
fork-19.gif,640,480
fork-2.gif,640,480
fork-20.gif,640,480
fork-3.gif,640,480
fork-4.gif,640,480
fork-5.gif,640,480
fork-6.gif,640,480
fork-7.gif,640,480
fork-8.gif,640,480
fork-9.gif,640,480
fountain-01.gif,360,243
fountain-02.gif,360,243
fountain-03.gif,360,243
fountain-04.gif,360,243
fountain-05.gif,360,243
fountain-06.gif,360,243
fountain-07.gif,360,243
fountain-08.gif,360,243
fountain-09.gif,360,243
fountain-10.gif,360,243
fountain-11.gif,360,243
fountain-12.gif,360,243
fountain-13.gif,360,243
fountain-14.gif,360,243
fountain-15.gif,360,243
fountain-16.gif,360,243
fountain-17.gif,360,243
fountain-18.gif,360,243
fountain-19.gif,360,243
fountain-20.gif,360,243
frog-1.gif,285,274
frog-10.gif,285,274
frog-11.gif,285,274
frog-12.gif,198,175
frog-13.gif,198,175
frog-14.gif,422,530
frog-15.gif,260,244
frog-16.gif,198,211
frog-17.gif,198,211
frog-18.gif,171,210
frog-19.gif,220,182
frog-2.gif,220,182
frog-20.gif,325,341
frog-3.gif,220,182
frog-4.gif,198,175
frog-5.gif,198,175
frog-6.gif,325,341
frog-7.gif,325,341
frog-8.gif,198,175
frog-9.gif,198,175
Glas-1.gif,324,361
Glas-10.gif,322,358
Glas-11.gif,324,289
Glas-12.gif,324,361
Glas-13.gif,324,361
Glas-14.gif,324,361
Glas-15.gif,317,361
Glas-16.gif,324,361
Glas-17.gif,262,361
Glas-18.gif,324,361
Glas-19.gif,324,361
Glas-2.gif,324,361
Glas-20.gif,324,361
Glas-3.gif,324,361
Glas-4.gif,324,361
Glas-5.gif,324,361
Glas-6.gif,324,361
Glas-7.gif,324,361
Glas-8.gif,324,361
Glas-9.gif,324,361
guitar-1.gif,354,495
guitar-10.gif,348,639
guitar-11.gif,277,509
guitar-12.gif,325,148
guitar-13.gif,249,423
guitar-14.gif,91,150
guitar-15.gif,437,309
guitar-16.gif,300,146
guitar-17.gif,294,478
guitar-18.gif,91,150
guitar-19.gif,316,476
guitar-2.gif,312,192
guitar-20.gif,133,388
guitar-3.gif,401,702
guitar-4.gif,352,239
guitar-5.gif,312,192
guitar-6.gif,419,416
guitar-7.gif,429,418
guitar-8.gif,387,217
guitar-9.gif,299,200
hammer-1.gif,720,371
hammer-10.gif,256,256
hammer-11.gif,256,256
hammer-12.gif,256,256
hammer-13.gif,256,256
hammer-14.gif,256,256
hammer-15.gif,256,256
hammer-16.gif,256,256
hammer-17.gif,256,256
hammer-18.gif,256,256
hammer-19.gif,256,256
hammer-2.gif,256,256
hammer-20.gif,256,256
hammer-3.gif,256,256
hammer-4.gif,256,256
hammer-5.gif,256,256
hammer-6.gif,256,256
hammer-7.gif,256,256
hammer-8.gif,256,256
hammer-9.gif,256,256
hat-1.gif,251,216
hat-10.gif,199,87
hat-11.gif,201,146
hat-12.gif,143,112
hat-13.gif,158,151
hat-14.gif,331,163
hat-15.gif,259,125
hat-16.gif,199,100
hat-17.gif,254,142
hat-18.gif,104,75
hat-19.gif,275,256
hat-2.gif,155,74
hat-20.gif,209,140
hat-3.gif,275,256
hat-4.gif,79,64
hat-5.gif,50,48
hat-6.gif,66,77
hat-7.gif,477,286
hat-8.gif,250,148
hat-9.gif,303,174
HCircle-1.gif,194,331
HCircle-10.gif,194,331
HCircle-11.gif,194,331
HCircle-12.gif,194,331
HCircle-13.gif,194,315
HCircle-14.gif,191,362
HCircle-15.gif,194,331
HCircle-16.gif,194,331
HCircle-17.gif,194,331
HCircle-18.gif,146,271
HCircle-19.gif,194,331
HCircle-2.gif,221,331
HCircle-20.gif,211,331
HCircle-3.gif,166,331
HCircle-4.gif,185,332
HCircle-5.gif,194,331
HCircle-6.gif,194,331
HCircle-7.gif,194,331
HCircle-8.gif,194,331
HCircle-9.gif,185,331
Heart-1.gif,464,384
Heart-10.gif,447,384
Heart-11.gif,464,384
Heart-12.gif,464,377
Heart-13.gif,464,384
Heart-14.gif,360,384
Heart-15.gif,464,384
Heart-16.gif,464,384
Heart-17.gif,464,384
Heart-18.gif,464,384
Heart-19.gif,464,384
Heart-2.gif,464,343
Heart-20.gif,447,384
Heart-3.gif,464,384
Heart-4.gif,464,384
Heart-5.gif,464,318
Heart-6.gif,464,384
Heart-7.gif,464,384
Heart-8.gif,446,380
Heart-9.gif,423,380
horse-1.gif,632,562
horse-10.gif,417,404
horse-11.gif,462,416
horse-12.gif,623,617
horse-13.gif,211,144
horse-14.gif,884,875
horse-15.gif,653,531
horse-16.gif,843,828
horse-17.gif,360,275
horse-18.gif,455,444
horse-19.gif,632,562
horse-2.gif,847,839
horse-20.gif,315,266
horse-3.gif,390,196
horse-4.gif,426,401
horse-5.gif,286,261
horse-6.gif,653,531
horse-7.gif,760,383
horse-8.gif,830,784
horse-9.gif,332,248
horseshoe-1.gif,360,334
horseshoe-10.gif,59,61
horseshoe-11.gif,91,108
horseshoe-12.gif,79,104
horseshoe-13.gif,205,197
horseshoe-14.gif,153,171
horseshoe-15.gif,180,167
horseshoe-16.gif,171,166
horseshoe-17.gif,88,97
horseshoe-18.gif,114,107
horseshoe-19.gif,91,108
horseshoe-2.gif,171,166
horseshoe-20.gif,205,197
horseshoe-3.gif,166,178
horseshoe-4.gif,153,171
horseshoe-5.gif,114,107
horseshoe-6.gif,114,106
horseshoe-7.gif,88,102
horseshoe-8.gif,62,61
horseshoe-9.gif,88,97
jar-1.gif,512,512
jar-10.gif,512,512
jar-11.gif,512,512
jar-12.gif,512,512
jar-13.gif,512,512
jar-14.gif,512,512
jar-15.gif,512,512
jar-16.gif,512,512
jar-17.gif,512,512
jar-18.gif,512,512
jar-19.gif,512,512
jar-2.gif,512,512
jar-20.gif,512,512
jar-3.gif,512,512
jar-4.gif,512,512
jar-5.gif,512,512
jar-6.gif,512,512
jar-7.gif,512,512
jar-8.gif,512,512
jar-9.gif,512,512
key-1.gif,464,276
key-10.gif,379,230
key-11.gif,441,209
key-12.gif,479,253
key-13.gif,460,268
key-14.gif,412,275
key-15.gif,460,267
key-16.gif,422,266
key-17.gif,406,259
key-18.gif,438,248
key-19.gif,411,250
key-2.gif,400,259
key-20.gif,393,261
key-3.gif,416,264
key-4.gif,434,221
key-5.gif,440,256
key-6.gif,394,216
key-7.gif,415,248
key-8.gif,395,232
key-9.gif,420,224
lizzard-1.gif,376,308
lizzard-10.gif,527,308
lizzard-11.gif,264,328
lizzard-12.gif,264,328
lizzard-13.gif,416,421
lizzard-14.gif,684,479
lizzard-15.gif,494,256
lizzard-16.gif,328,300
lizzard-17.gif,440,739
lizzard-18.gif,440,739
lizzard-19.gif,538,774
lizzard-2.gif,488,479
lizzard-20.gif,376,308
lizzard-3.gif,329,256
lizzard-4.gif,329,256
lizzard-5.gif,418,408
lizzard-6.gif,514,376
lizzard-7.gif,514,376
lizzard-8.gif,412,376
lizzard-9.gif,318,248
lmfish-1.gif,640,480
lmfish-10.gif,323,168
lmfish-11.gif,389,386
lmfish-12.gif,460,458
lmfish-13.gif,147,348
lmfish-14.gif,256,113
lmfish-15.gif,699,309
lmfish-16.gif,269,122
lmfish-17.gif,237,168
lmfish-18.gif,230,229
lmfish-19.gif,194,194
lmfish-2.gif,660,658
lmfish-20.gif,213,104
lmfish-3.gif,161,452
lmfish-4.gif,304,111
lmfish-5.gif,1116,417
lmfish-6.gif,309,114
lmfish-7.gif,336,243
lmfish-8.gif,269,269
lmfish-9.gif,260,260
Misk-1.gif,331,403
Misk-10.gif,336,403
Misk-11.gif,331,403
Misk-12.gif,331,403
Misk-13.gif,333,384
Misk-14.gif,351,403
Misk-15.gif,351,405
Misk-16.gif,331,431
Misk-17.gif,331,403
Misk-18.gif,348,403
Misk-19.gif,347,403
Misk-2.gif,317,403
Misk-20.gif,340,403
Misk-3.gif,331,403
Misk-4.gif,331,355
Misk-5.gif,322,403
Misk-6.gif,331,375
Misk-7.gif,329,404
Misk-8.gif,331,403
Misk-9.gif,331,403
octopus-1.gif,256,256
octopus-10.gif,256,256
octopus-11.gif,256,256
octopus-12.gif,256,256
octopus-13.gif,256,256
octopus-14.gif,256,256
octopus-15.gif,256,256
octopus-16.gif,256,256
octopus-17.gif,256,256
octopus-18.gif,256,256
octopus-19.gif,256,256
octopus-2.gif,256,256
octopus-20.gif,256,256
octopus-3.gif,256,256
octopus-4.gif,256,256
octopus-5.gif,256,256
octopus-6.gif,256,256
octopus-7.gif,256,256
octopus-8.gif,256,256
octopus-9.gif,256,256
pencil-1.gif,490,177
pencil-10.gif,485,217
pencil-11.gif,512,194
pencil-12.gif,522,189
pencil-13.gif,424,170
pencil-14.gif,455,148
pencil-15.gif,250,359
pencil-16.gif,239,358
pencil-17.gif,239,358
pencil-18.gif,239,358
pencil-19.gif,239,358
pencil-2.gif,487,186
pencil-20.gif,506,190
pencil-3.gif,464,192
